name,nickname,wins,losses,draws,height_cm,weight_in_kg,reach_in_cm,stance,date_of_birth,significant_strikes_landed_per_minute,significant_striking_accuracy,significant_strikes_absorbed_per_minute,significant_strike_defence,average_takedowns_landed_per_15_minutes,takedown_accuracy,takedown_defense,average_submissions_attempted_per_15_minutes,gender
Cain Velasquez,,14,3,0,185.42,108.86,195.58,Orthodox,00:00.0,6.37,57,2.33,57,5.13,45,85,6.37,Male
Eric Bedard,Lucky Strikes,6,7,0,187.96,108.41,,,,6.37,35,8.54,52,0.0,0,0,6.37,Male
George Bush,,5,2,0,185.42,92.99,,,,6.35,64,2.31,55,17.31,66,0,6.35,Male
Rico Farrington,The Triggerman,7,3,0,193.04,77.11,200.66,Southpaw,00:00.0,6.33,41,7.2,51,0.0,0,20,6.33,Male
Collin Hart,,6,3,1,185.42,83.91,,Orthodox,00:00.0,6.33,44,7.53,51,2.0,16,50,6.33,Male
Gilbert Urbina,The RGV Bad Boy,7,3,0,190.5,77.11,190.5,Orthodox,00:00.0,6.33,60,4.09,47,3.96,50,0,6.33,Male
Dayana Silva,,7,4,0,170.18,61.23,,Orthodox,00:00.0,6.33,51,5.93,57,0.0,0,42,6.33,Male
Leon Shahbazyan,,7,2,0,193.04,77.11,187.96,Orthodox,00:00.0,6.33,52,8.18,32,1.46,50,0,6.33,Male
Ange Loosa,The Last Ninja,10,3,0,177.8,77.11,187.96,Orthodox,00:00.0,6.32,46,6.88,51,2.25,45,100,6.32,Male
Leon Aliu,The Albanian Lion,10,2,0,182.88,83.91,187.96,Orthodox,00:00.0,6.32,50,10.11,38,0.0,0,0,6.32,Male
Gabe Green,Gifted,11,5,0,177.8,77.11,185.42,Switch,00:00.0,6.28,45,6.95,47,0.83,50,53,6.28,Male
Joanna Jedrzejczyk,,16,5,0,167.64,52.16,165.1,Orthodox,00:00.0,6.28,48,3.25,62,0.27,62,80,6.28,Female
Abner Lloveras,Skullman,20,9,1,180.34,70.31,,,,6.27,49,6.87,43,2.0,20,0,6.27,Male
Yazmin Jauregui,,10,1,0,160.02,52.16,162.56,Orthodox,00:00.0,6.26,41,4.87,54,0.0,0,100,6.26,Female
